Frequency_of_NER	NER_Count	NER_Presence	TenseClash
0.00819672131147541	1	1	1
0.014925373134328358	1	1	0
0.041666666666666664	1	1	0
0.0	0	0	0
0.0	0	0	0
0.027777777777777776	1	1	0
0.0078125	1	1	1
0.019230769230769232	1	1	0
0.020833333333333332	2	1	0
0.0	0	0	0
0.0	0	0	1
0.0196078431372549	1	1	0
0.0	0	0	0
0.015625	1	1	0
0.018518518518518517	2	1	1
0.0	0	0	0
0.010752688172043012	1	1	1
0.02158273381294964	3	1	1
0.021739130434782608	3	1	1
0.014925373134328358	1	1	1
0.046511627906976744	2	1	0
0.007518796992481203	1	1	0
0.0	0	0	0
0.007874015748031496	1	1	1
0.0	0	0	0
0.0	0	0	0
0.0	0	0	1
0.011764705882352941	1	1	0
0.0	0	0	0
0.017241379310344827	1	1	0
0.017857142857142856	1	1	0
0.0	0	0	0
0.0	0	0	0
0.014705882352941176	1	1	0
0.009345794392523364	1	1	0
0.014492753623188406	2	1	0
0.031578947368421054	3	1	0
0.0	0	0	0
0.0	0	0	0
0.0	0	0	1
0.019230769230769232	1	1	0
0.0	0	0	1
0.0	0	0	0
0.02127659574468085	2	1	1
0.0	0	0	0
0.0	0	0	0
0.0	0	0	1
0.0	0	0	1
0.009523809523809525	1	1	0
0.0	0	0	0
0.036585365853658534	3	1	1
0.009433962264150943	1	1	0
0.0	0	0	1
0.0	0	0	0
0.007518796992481203	1	1	1
0.007874015748031496	1	1	0
0.01282051282051282	1	1	0
0.008	1	1	1
0.022058823529411766	3	1	0
0.028985507246376812	2	1	0
0.017699115044247787	2	1	0
0.022727272727272728	1	1	1
0.0	0	0	0
0.0	0	0	0
0.0	0	0	1
0.008849557522123894	1	1	0
0.02040816326530612	1	1	0
0.0	0	0	0
0.02857142857142857	4	1	1
0.00980392156862745	1	1	0
0.032520325203252036	4	1	0
0.028985507246376812	2	1	0
0.0	0	0	0
0.007462686567164179	1	1	1
0.0	0	0	1
0.0	0	0	0
0.00847457627118644	1	1	0
0.00847457627118644	1	1	0
0.0	0	0	0
0.0	0	0	0
0.0	0	0	1
0.008130081300813009	1	1	0
0.027777777777777776	3	1	0
0.023809523809523808	1	1	0
0.019417475728155338	2	1	0
0.02197802197802198	2	1	0
0.0	0	0	1
0.018518518518518517	2	1	0
0.02	1	1	1
0.01834862385321101	2	1	0
0.010752688172043012	1	1	0
0.0	0	0	0
0.0	0	0	0
0.0	0	0	0
0.01639344262295082	2	1	1
0.0	0	0	0
0.008849557522123894	1	1	1
0.0	0	0	0
0.02702702702702703	2	1	0
0.0	0	0	1
0.0	0	0	1
0.0136986301369863	1	1	0
0.0	0	0	0
0.007246376811594203	1	1	1
0.02247191011235955	2	1	0
0.0	0	0	1
0.0	0	0	0
0.01098901098901099	1	1	0
0.0	0	0	1
0.026785714285714284	3	1	0
0.0	0	0	1
0.0	0	0	1
0.011363636363636364	1	1	0
0.0	0	0	0
0.015625	2	1	1
0.011111111111111112	1	1	1
0.0	0	0	0
0.0	0	0	0
0.02702702702702703	1	1	0
0.030927835051546393	3	1	0
0.009615384615384616	1	1	1
0.0	0	0	0
0.0	0	0	0
0.0	0	0	0
0.007575757575757576	1	1	0
0.0	0	0	0
0.0	0	0	1
0.0	0	0	1
0.008333333333333333	1	1	0
0.008547008547008548	1	1	1
0.008264462809917356	1	1	1
0.007407407407407408	1	1	0
0.0	0	0	1
0.0	0	0	0
0.01639344262295082	1	1	0
0.0	0	0	1
0.009615384615384616	1	1	0
0.0	0	0	0
0.008	1	1	1
0.007462686567164179	1	1	0
0.04225352112676056	3	1	1
0.0	0	0	0
0.0	0	0	0
0.0	0	0	0
0.02631578947368421	2	1	0
0.0	0	0	0
0.007692307692307693	1	1	1
0.0	0	0	0
0.021739130434782608	1	1	0
0.030303030303030304	3	1	0
0.0	0	0	0
0.0	0	0	0
0.0	0	0	1
0.02040816326530612	1	1	0
0.0	0	0	0
0.018518518518518517	2	1	1
0.0	0	0	1
0.009615384615384616	1	1	0
0.0	0	0	1
0.024096385542168676	2	1	0
0.0	0	0	1
0.0	0	0	0
0.0	0	0	0
0.017857142857142856	1	1	0
0.0	0	0	0
0.012195121951219513	1	1	0
0.025	3	1	0
0.008264462809917356	1	1	1
0.006134969325153374	1	1	1
0.00819672131147541	1	1	0
0.0	0	0	0
0.07692307692307693	2	1	0
0.0	0	0	0
0.0	0	0	0
0.0	0	0	0
0.0	0	0	1
0.0	0	0	0
0.0	0	0	0
0.0	0	0	1
0.0	0	0	0
0.0	0	0	0
0.0	0	0	1
0.0	0	0	1
0.046511627906976744	4	1	0
0.0	0	0	1
0.0	0	0	0
0.0	0	0	1
0.017857142857142856	2	1	1
0.016666666666666666	2	1	1
0.0	0	0	0
0.0136986301369863	1	1	0
0.0	0	0	0
0.034782608695652174	4	1	1
0.008264462809917356	1	1	0
0.0	0	0	0
0.03508771929824561	2	1	0
0.008264462809917356	1	1	0
0.014285714285714285	1	1	0
0.012738853503184714	2	1	0
0.0	0	0	0
0.008928571428571428	1	1	0
0.0	0	0	0
0.009852216748768473	2	1	0
0.0	0	0	0
0.0125	1	1	1
0.0	0	0	1
0.0297029702970297	3	1	0
0.0	0	0	0
0.0	0	0	0
0.015151515151515152	1	1	0
0.0	0	0	0
0.0	0	0	0
0.008333333333333333	1	1	1
0.05405405405405406	6	1	0
0.03225806451612903	2	1	0
0.024691358024691357	2	1	0
0.012048192771084338	1	1	0
0.022727272727272728	3	1	1
0.009900990099009901	1	1	0
0.0	0	0	0
0.02631578947368421	1	1	0
0.010752688172043012	1	1	0
0.009523809523809525	1	1	0
0.0	0	0	0
0.030973451327433628	7	1	0
0.0	0	0	0
0.03278688524590164	2	1	0
0.0	0	0	0
0.0	0	0	1
0.0	0	0	0
0.021897810218978103	3	1	1
0.0	0	0	0
0.0	0	0	0
0.0	0	0	0
0.0392156862745098	2	1	0
0.05384615384615385	7	1	0
0.023809523809523808	2	1	1
0.0	0	0	0
0.02531645569620253	2	1	0
0.017543859649122806	1	1	0
0.007575757575757576	1	1	0
0.030303030303030304	3	1	0
0.0	0	0	0
0.007575757575757576	1	1	0
0.0	0	0	0
0.0	0	0	1
0.009615384615384616	1	1	0
0.018691588785046728	2	1	1
0.0	0	0	0
0.0	0	0	0
0.02127659574468085	2	1	0
0.0	0	0	0
0.03389830508474576	4	1	1
0.0	0	0	0
0.022222222222222223	2	1	0
0.0	0	0	1
0.018518518518518517	1	1	0
0.0	0	0	0
0.0	0	0	1
0.0	0	0	0
0.036036036036036036	4	1	0
0.0	0	0	0
0.0	0	0	0
0.0	0	0	0
0.0	0	0	0
0.024193548387096774	3	1	0
0.009523809523809525	1	1	0
0.0	0	0	1
0.027777777777777776	3	1	1
0.01639344262295082	1	1	0
0.0	0	0	0
0.0	0	0	1
0.0	0	0	0
0.0	0	0	0
0.0	0	0	0
0.0	0	0	1
0.0	0	0	1
0.007575757575757576	1	1	1
0.013513513513513514	1	1	0
0.0	0	0	1
0.0	0	0	0
0.024	3	1	1
0.0	0	0	0
0.0	0	0	0
0.0	0	0	1
0.014925373134328358	1	1	0
0.024390243902439025	3	1	0
0.01020408163265306	1	1	0
0.0	0	0	0
0.0078125	1	1	1
0.0	0	0	0
0.024	3	1	0
0.015503875968992248	2	1	0
0.013888888888888888	1	1	0
0.0	0	0	0
0.0	0	0	0
0.0	0	0	0
0.008771929824561403	1	1	0
0.0	0	0	0
0.0	0	0	0
0.0	0	0	0
0.02040816326530612	1	1	1
0.0	0	0	0
0.0	0	0	0
0.01904761904761905	2	1	0
0.0	0	0	1
0.0	0	0	0
0.0	0	0	0
0.0	0	0	0
0.0	0	0	1
0.0	0	0	0
0.0	0	0	1
0.009259259259259259	1	1	0
0.016666666666666666	2	1	0
0.0	0	0	1
0.009259259259259259	1	1	0
0.0	0	0	0
0.0	0	0	0
0.010101010101010102	1	1	0
0.0	0	0	1
0.036036036036036036	4	1	0
0.021739130434782608	3	1	1
0.0	0	0	0
0.0	0	0	0
0.0	0	0	0
0.0	0	0	0
0.0	0	0	1
0.0	0	0	0
0.01639344262295082	2	1	1
0.008264462809917356	1	1	1
0.008	1	1	0
0.0	0	0	1
0.0	0	0	0
0.008928571428571428	1	1	0
0.01098901098901099	1	1	0
0.0379746835443038	3	1	0
0.04819277108433735	4	1	0
0.008547008547008548	1	1	1
0.0	0	0	1
0.015748031496062992	2	1	1
0.0	0	0	0
0.0	0	0	0
0.0	0	0	0
0.0	0	0	0
0.015267175572519083	2	1	0
0.0	0	0	1
0.0	0	0	0
0.0	0	0	1
0.0	0	0	0
0.0	0	0	0
0.018691588785046728	2	1	0
0.028169014084507043	2	1	0
0.0	0	0	0
0.02702702702702703	1	1	0
0.0	0	0	0
0.0	0	0	0
0.0	0	0	1
0.007518796992481203	1	1	1
0.01	1	1	0
0.02	3	1	0
0.02197802197802198	2	1	0
0.045454545454545456	6	1	0
0.007246376811594203	1	1	1
0.0	0	0	0
0.0	0	0	1
0.0	0	0	0
0.0	0	0	0
0.0	0	0	0
0.0	0	0	0
0.0	0	0	1
0.01639344262295082	2	1	0
0.024390243902439025	1	1	0
0.010869565217391304	1	1	1
0.0	0	0	1
0.007462686567164179	1	1	1
0.0	0	0	0
0.06666666666666667	1	1	0
0.008	1	1	0
0.018867924528301886	1	1	0
0.02631578947368421	2	1	0
0.0449438202247191	4	1	0
0.02857142857142857	1	1	0
0.025423728813559324	3	1	0
0.005050505050505051	1	1	1
0.0	0	0	1
0.0	0	0	0
0.0	0	0	0
0.008	1	1	0
0.0	0	0	1
0.007575757575757576	1	1	0
0.0	0	0	1
0.0	0	0	1
0.011235955056179775	1	1	0
0.02654867256637168	3	1	0
0.02631578947368421	1	1	0
0.0	0	0	1
0.020833333333333332	2	1	0
0.008264462809917356	1	1	0
0.018867924528301886	2	1	1
0.013513513513513514	1	1	0
0.0	0	0	1
0.020833333333333332	1	1	0
0.0	0	0	0
0.0	0	0	1
0.025	3	1	1
0.01020408163265306	1	1	1
0.014084507042253521	1	1	0
0.034482758620689655	1	1	0
0.0	0	0	1
0.0	0	0	1
0.0	0	0	0
0.0	0	0	0
0.0	0	0	0
0.0	0	0	1
0.017699115044247787	2	1	0
0.0	0	0	0
0.0	0	0	1
0.030534351145038167	4	1	0
0.0	0	0	1
0.0	0	0	0
0.008547008547008548	1	1	0
0.02857142857142857	1	1	0
0.034482758620689655	4	1	0
0.02	1	1	0
0.0	0	0	0
0.0	0	0	0
0.0	0	0	0
0.0	0	0	0
0.023529411764705882	2	1	0
0.0	0	0	0
0.0	0	0	0
0.0	0	0	0
0.015873015873015872	1	1	0
0.017391304347826087	2	1	1
0.0	0	0	0
0.0	0	0	0
0.0	0	0	0
0.021052631578947368	2	1	0
0.007751937984496124	1	1	1
0.0	0	0	0
0.0	0	0	0
0.0	0	0	0
0.012195121951219513	1	1	0
0.02912621359223301	3	1	0
0.0	0	0	1
0.0	0	0	0
0.00851063829787234	2	1	0
0.0	0	0	1
0.014285714285714285	1	1	0
0.0	0	0	1
0.012195121951219513	1	1	0
0.0	0	0	0
0.009900990099009901	1	1	1
0.014388489208633094	2	1	1
0.0234375	3	1	1
0.012195121951219513	1	1	0
0.0	0	0	1
0.013157894736842105	1	1	0
0.012345679012345678	1	1	0
0.0	0	0	0
0.0	0	0	0
0.0	0	0	0
0.0	0	0	0
0.0	0	0	0
0.05063291139240506	4	1	0
0.0	0	0	0
0.030303030303030304	2	1	1
0.0	0	0	0
0.011111111111111112	1	1	0
0.0	0	0	1
0.006944444444444444	1	1	0
0.0	0	0	0
0.025	2	1	0
0.02702702702702703	3	1	1
0.02702702702702703	2	1	0
0.0	0	0	1
0.0	0	0	0
0.018518518518518517	2	1	1
0.009523809523809525	1	1	0
0.008064516129032258	1	1	1
0.02564102564102564	1	1	0
0.0	0	0	0
0.0	0	0	0
0.00909090909090909	1	1	0
0.0	0	0	0
0.015503875968992248	2	1	1
0.0	0	0	0
0.019417475728155338	2	1	0
0.0	0	0	1
0.030927835051546393	3	1	0
0.0	0	0	0
0.012987012987012988	1	1	0
0.0	0	0	1
0.015503875968992248	2	1	0
0.0	0	0	1
0.01694915254237288	2	1	0
0.015748031496062992	2	1	1
0.015873015873015872	1	1	0
0.0	0	0	0
0.0	0	0	0
0.0	0	0	0
0.02654867256637168	3	1	0
0.0	0	0	0
0.0	0	0	1
0.007692307692307693	1	1	0
0.0	0	0	0
0.0	0	0	0
0.022727272727272728	1	1	0
0.0	0	0	1
0.011494252873563218	1	1	1
0.016129032258064516	2	1	1
0.0	0	0	1
0.046511627906976744	2	1	0
0.030612244897959183	3	1	0
0.011363636363636364	1	1	0
0.04878048780487805	2	1	0
0.010752688172043012	1	1	0
0.01282051282051282	1	1	0
0.0	0	0	0
0.0	0	0	0
0.007518796992481203	1	1	1
0.0	0	0	0
0.020202020202020204	2	1	0
0.0	0	0	0
0.008	1	1	0
0.0	0	0	1
0.0	0	0	0
0.021739130434782608	2	1	0
0.007518796992481203	1	1	1
0.025	1	1	0
0.0136986301369863	1	1	0
0.0	0	0	1
0.007692307692307693	1	1	0
0.0	0	0	0
0.0	0	0	1
0.0	0	0	1
0.0	0	0	0
0.02702702702702703	1	1	0
0.0	0	0	1
0.012987012987012988	1	1	1
0.013333333333333334	1	1	0
0.009900990099009901	1	1	0
0.0	0	0	0
0.018518518518518517	1	1	0
0.012987012987012988	1	1	0
0.0	0	0	0
0.0	0	0	0
0.0	0	0	0
0.0	0	0	0
0.014285714285714285	1	1	1
0.0	0	0	1
0.009900990099009901	1	1	1
0.021052631578947368	2	1	0
0.022222222222222223	3	1	1
0.009345794392523364	1	1	1
0.0	0	0	0
0.02	2	1	1
0.018691588785046728	2	1	1
0.0	0	0	1
0.0	0	0	1
0.021739130434782608	2	1	0
0.0	0	0	0
0.020833333333333332	2	1	1
0.0	0	0	1
0.0	0	0	0
0.0	0	0	1
0.00819672131147541	1	1	0
0.017543859649122806	1	1	1
0.021739130434782608	3	1	0
0.0	0	0	0
0.015267175572519083	2	1	1
0.0	0	0	0
0.0	0	0	1
0.005747126436781609	1	1	0
0.0	0	0	1
0.011904761904761904	1	1	1
0.0	0	0	0
0.008	1	1	1
0.009900990099009901	1	1	0
0.0	0	0	0
0.0	0	0	0
0.00819672131147541	1	1	1
0.012195121951219513	1	1	0
0.0	0	0	1
0.0	0	0	1
0.019230769230769232	2	1	1
0.0	0	0	0
0.009259259259259259	1	1	1
0.00425531914893617	1	1	1
0.03333333333333333	1	1	0
0.015037593984962405	2	1	1
0.0	0	0	0
0.0	0	0	0
0.0	0	0	0
0.0	0	0	0
0.028169014084507043	2	1	0
0.0	0	0	0
0.014705882352941176	1	1	0
0.0	0	0	1
0.0	0	0	1
0.0	0	0	0
0.0	0	0	1
0.019230769230769232	2	1	0
0.0	0	0	0
0.0	0	0	0
0.0	0	0	0
0.009523809523809525	1	1	0
0.0	0	0	1
0.0078125	1	1	1
0.0	0	0	0
0.0	0	0	0
0.0	0	0	0
0.0136986301369863	1	1	0
0.0	0	0	0
0.0	0	0	0
0.0	0	0	1
0.007352941176470588	1	1	0
0.03076923076923077	2	1	0
0.0	0	0	0
0.011111111111111112	1	1	0
0.02830188679245283	3	1	0
0.0	0	0	0
0.0	0	0	0
0.015384615384615385	1	1	1
0.03508771929824561	2	1	1
0.007633587786259542	1	1	1
0.011904761904761904	1	1	0
0.0	0	0	1
0.02127659574468085	1	1	0
0.0	0	0	0
0.0	0	0	0
0.0	0	0	1
0.0	0	0	0
0.0	0	0	0
0.008771929824561403	1	1	0
0.0	0	0	1
0.007874015748031496	1	1	0
0.008064516129032258	1	1	0
0.024390243902439025	1	1	0
0.05303030303030303	7	1	1
0.05	3	1	0
0.0	0	0	0
0.037037037037037035	2	1	0
0.0	0	0	0
0.009900990099009901	1	1	0
0.0	0	0	0
0.008695652173913044	1	1	1
0.011111111111111112	1	1	1
0.0	0	0	0
0.0	0	0	0
0.0	0	0	0
0.0	0	0	1
0.0	0	0	1
0.024390243902439025	2	1	0
0.0	0	0	0
0.0	0	0	1
0.0	0	0	0
0.0	0	0	0
0.0	0	0	1
0.0	0	0	1
0.0	0	0	0
0.047619047619047616	2	1	0
0.0	0	0	1
0.0	0	0	1
0.022727272727272728	1	1	1
0.0	0	0	1
0.03076923076923077	4	1	0
0.007936507936507936	1	1	0
0.0	0	0	1
0.0	0	0	1
0.0	0	0	0
0.03508771929824561	4	1	0
0.0	0	0	0
0.024793388429752067	3	1	0
0.0	0	0	1
0.0	0	0	0
0.0	0	0	0
0.0	0	0	0
0.014925373134328358	2	1	0
0.024390243902439025	1	1	0
0.0	0	0	0
0.02564102564102564	1	1	0
0.0	0	0	0
0.02459016393442623	3	1	0
0.0	0	0	0
0.007352941176470588	1	1	1
0.0	0	0	0
0.0	0	0	1
0.00819672131147541	1	1	1
0.0	0	0	0
0.0	0	0	0
0.010752688172043012	1	1	0
0.0	0	0	1
0.0	0	0	0
0.022727272727272728	3	1	0
0.0	0	0	0
0.0297029702970297	3	1	0
0.0	0	0	0
0.0	0	0	1
0.0196078431372549	1	1	0
0.02702702702702703	1	1	0
0.017857142857142856	1	1	0
0.0	0	0	0
0.03225806451612903	1	1	0
0.0	0	0	0
0.0	0	0	0
0.0	0	0	0
0.0	0	0	0
0.0	0	0	1
0.0	0	0	1
0.008403361344537815	1	1	1
0.015151515151515152	1	1	0
0.0	0	0	0
0.0	0	0	1
0.016129032258064516	1	1	0
0.01282051282051282	1	1	0
0.020618556701030927	2	1	0
0.03389830508474576	4	1	0
0.0	0	0	0
0.021505376344086023	2	1	1
0.014925373134328358	1	1	1
0.0	0	0	0
0.015384615384615385	1	1	0
0.023255813953488372	1	1	0
0.014285714285714285	1	1	0
0.0	0	0	0
0.0	0	0	0
0.0	0	0	0
0.0	0	0	0
0.011494252873563218	1	1	0
0.0	0	0	0
0.022222222222222223	2	1	0
0.0	0	0	0
0.014925373134328358	1	1	1
0.0	0	0	0
0.041666666666666664	1	1	0
0.0	0	0	0
0.0	0	0	0
0.0	0	0	0
0.007633587786259542	1	1	1
0.0	0	0	0
0.0	0	0	0
0.0	0	0	0
0.023076923076923078	3	1	1
0.0	0	0	1
0.0	0	0	0
0.0	0	0	0
0.0	0	0	0
0.0	0	0	0
0.008695652173913044	1	1	0
0.007692307692307693	1	1	0
0.0	0	0	1
0.007751937984496124	1	1	0
0.010526315789473684	1	1	0
0.012658227848101266	1	1	0
0.0	0	0	0
0.03418803418803419	4	1	0
0.0	0	0	1
0.0196078431372549	1	1	0
0.0	0	0	1
0.029850746268656716	2	1	0
0.007352941176470588	1	1	0
0.05555555555555555	2	1	0
0.0	0	0	1
0.0	0	0	0
0.0	0	0	1
0.024390243902439025	3	1	0
0.0	0	0	1
0.012048192771084338	1	1	0
0.0078125	1	1	1
0.0	0	0	1
0.013333333333333334	1	1	1
0.009900990099009901	1	1	0
0.0	0	0	1
0.0125	1	1	0
0.0	0	0	0
0.0	0	0	0
0.0	0	0	0
0.0	0	0	1
0.0	0	0	1
0.014598540145985401	2	1	1
0.01694915254237288	2	1	0
0.023809523809523808	2	1	0
0.0	0	0	0
